TABLE VIDS
F VIDS S 2 0 2
F VIDS_txt C 30 0 2
D 0;"Няма данни"
D 2470;За съоръжение на друг вид провод
D 2471;За съоръжение за превантивна защита 
D 2472;За друг вид изкуствен ресурс за превантивна защита
D 2500;Нива
D 2510;Зеленчуковa градина
D 2520;Оризище
D 2530;Оранжерия с трайна конструкция
D 2540;Дивечова нива
D 2550;Неизползвана нива (угар, орница)
D 2560;Изоставена орна земя
D 2570;Друг вид нива
D 2580;Изоставена нива
D 2600;Овощна градина
D 2610;Лозе
D 2620;Етерично-маслодайна култура 
D 2630;Хмелници
D 2640;Разсадник
D 2650;Изоставено трайно насаждение
D 2660;Друг вид трайно насаждение
D 2700;Ливада
D 2710;Неизползвана ливада
D 2720;Изоставена ливада
D 2730;Друг вид ливада
D 2800;Пасище
D 2810;Мера
D 2820;Високопланинско пасище
D 2830;Друг вид земеделска земя
D 2840;Гори и храсти в земеделска земя
D 2900;Иглолистна гора
D 2910;Широколистна гора
D 2920;Смесена гора
D 2930;Нискостъблена гора 
D 2940;Клек
D 2950;Друг вид дървопроизводителна гора
D 3000;Голина
D 3010;Поляна
D 3020;Просека
D 3030;Нелесопригодна площ - дървесна растителност, храсти
D 3040;Друг вид недървопроизводителна горска площ
D 3050;Друг вид горски имот
D 3060;Горски разсадник
D 3100;Водно течение, река
D 3110;Езеро
D 3120;Блато
D 3130;Мочурище
D 3140;Язовир
D 3150;Водоем
D 3160;Рибарник
D 3170;Солница
D 3180;За басейн с резервна вода за промишлено предприятие
D 3190;Напоителен канал
D 3200;Отводнителен канал
D 3210;Плавателен канал
D 3220;За извор на прясна вода
D 3230;За извор на минерална вода
D 3240;За водостопанско, хидромелиоративно съоръжение
D 3245;За брегоукрепителни и брегозащитни системи и съоръжения за предпазване от вредното въздействие от водите
D 3246;За дамба
D 3250;За друг вид водно течение, водна площ, съоръжение
D 3260;Гранична река
D 3300;Черноморски териториални води
D 3301;Крайбрежно езеро
D 3302;Лагуна
D 3303;Лиман
D 3304;Влажна зона
D 3400;Резерват
D 3410;Природна забележителност
D 3420;Поддържан резерват
D 3430;Защитена местност
D 3431;Природен парк
D 3432;Национален парк
D 3440;Крайбрежна плажна ивица
D 3441;Морски плаж
D 3442;Пясъчна дюна
D 3443;Остров
D 3450;За находище на лечебна кал
D 3460;За друг вид естествен ресурс за превантивна защита 
D 3500;За добив на руди
D 3510;За добив на въглища
D 3520;За добив на нерудни полезни изкопаеми
D 3530;За кариера за пясък, чакъл и глини за строителната керамика
D 3540;За кариера за суровини за строителството и промишлеността в скален масив
D 3550;Със сгради и съоръжения за добив на полезни изкопаеми
D 3560;За друг вид обект за добив на полезни изкопаеми
D 3600;Хвостохранилище
D 3610;Сгуроотвал
D 3620;Утаител
D 3630;Депо за индустриални отпадъци
D 3640;Депо за вторични суровини 
D 3650;Депо за битови отпадъци (сметище)
D 3660;Депо за хумус
D 3670;Насип, насипище
D 3680;За друг вид отпадъци
D 3700;Деградирала орна земя
D 3710;Деградирало трайно насаждение
D 3720;Деградирала ливада
D 3730;Друг вид деградирала земя
D 3800;За склад на държавния резерв
D 3810;За друг вид имот със специално предназначение и ползване
D 3900;Скали
D 3910;Пясъци
D 3920;Сипей
D 3930;Дере
D 3940;Овраг, промойна
D 3950;Ями
D 3960;Друг вид поземлен имот без определено стопанско предназначение
D 4000;Поземлен имот със смесен начин на трайно ползване
D 4100;Поземлен имот с недефиниран начин на трайно ползване
END_TABLE

TABLE VFUNC
F VFUNC S 3 0 2
F VFUNC_txt C 50 0 2
D 100;Жилищнa сградa – еднофамилнa
D 110;Жилищнa сградa – многофамилна
D 120;Жилищнa сградa със смесено предназначение
D 130;Вилна сграда – еднофамилнa
D 140;Вилна сграда – многофамилна
D 150;Общежитие
D 160;Хотел
D 170;Апартаментен хотел
D 180;Постройка на допълващото застрояване
D 190;Друг вид сграда за обитаване
D 200;Сграда за търговия
D 210;Сграда за обществено хранене
D 220;Сграда за битови услуги 
D 230;Сграда за детско заведение
D 240;Сграда за образование
D 250;Здравно заведение
D 260;Заведение за социални грижи
D 270;Сграда за научна и проектантска дейност
D 280;Сграда за култура и изкуство
D 290;Спортна сграда, база
D 300;Административна, делова сграда
D 310;Курортна, туристическа сграда
D 320;Сграда на транспорта
D 330;Сграда на съобщенията
D 340;Култова, религиозна сграда
D 350;Сграда - паметник на културата
D 360;Друг вид обществена сграда
D 400;Промишлена сграда
D 410;Сграда за енергопроизводство
D 420;Селскостопанска сграда 
D 430;Горскостопанска сграда
D 440;Сграда за водоснабдяване и/или канализация
D 450;Сграда със специално предназначение
D 460;Складова база, склад
D 470;Хангар, депо
D 475;Гараж
D 480;Друг вид производствена, складова, инфраструктурна сграда
D 490;Сграда със смесено предназначение
D 500;Жилище, апартамент
D 510;Ателие за творческа дейност
D 530;Гараж 
D 540;Инфраструктурен обект 
D 550;За търговска дейност
D 560;За обслужваща дейност за битови услуги
D 570;За обществено хранене
D 580;За детско заведение
D 590;За здравни и социални услуги
D 600;За културна и обществена дейност
D 610;За учебна дейност
D 620;За научна и проектантска дейност
D 630;За култова и ритуална дейност
D 640;За спортна и развлекателна дейност
D 650;За делова и административна дейност
D 660;За офис
D 670;За склад
D 680;Обекти със специално предназначение
D 690;Друг вид самостоятелен обект 
D 700;Съоръжения на транспортната инфраструктура
D 701;Подлез
D 702;Надлез
D 703;Тунел
D 704;Мост
D 705;Метростанция
D 706;Паркинг
D 740;Водоснабдителни, хидромелиоративни и канализационни съоръжения
D 780;Съоръжения на електроснабдяването
D 781;Електроцентрала
D 782;Подстанция
D 820;Съоръжение на далекосъобщителни съоръжения
D 821;Телевизионна кула
D 822;Ретранслатор
D 840;Съоръжения за геозащита
D 880;Съоръжения за третиране на отпадъци
D 920;Съоръжения за газоснабдяване
D 940;Съоръжения на топлоснабдяване
D 941;Топлоцентрала
END_TABLE

TABLE PREDN
F PREDN S 3 0 2
F PREDN_txt C 50 0 2
D 500;Жилище, апартамент
D 510;Ателие за творческа дейност
D 520;Кабинет за творческа дейност
D 530;Гараж в сграда
D 540;Инфраструктурен обект в сграда
D 550;За търговска дейност
D 560;За обслужваща дейност за битови услуги
D 570;За обществено хранене
D 580;За детско заведение
D 590;За здравни и социални услуги
D 600;За културна и обществена дейност
D 610;За учебна дейност
D 620;За научна и проектантска дейност
D 630;За култова и ритуална дейност
D 640;За спортна и развлекателна дейност
D 650;За делова и административна дейност
D 660;За офис
D 670;За склад
D 680;Обекти със специално предназначение
D 690;Друг вид самостоятелен обект в сграда
END_TABLE

TABLE OGRPIMO_TYPE
F TYPE S 3 0 2
F TYPE_txt C 250 0 2
D 1;Главна водопроводна мрежа. Над водопровода и на 3 m от двете му страни се забранява разполагане на трайни и временни постройки и трайни насаждения.
D 2;Санитарно-охранителна зона на водоснабдителен обект - Пояс "А". Забранява се всякаква дейност, несвързана с експлоатацията на обекта.
D 3;Санитарно-охранителна зона на водоснабдителен обект - Пояс "Б". Забраняват се и се ограничават дейностите от селскостопански характер, като се разрешава ограничено ползване на орни земи, хидромелиоративна дейност и пасища.
D 4;Санитарно-охранителна зона на водоснабдителен обект - Пояс "В". Има ограничителен характер по отношение на селскостопанската дейност.
D 11;Електропровод 20 kV. На 10 m от двете страни до крайните проводници или на 11 m от оста на електропровода, не може да се строят сгради и съоръжения и да се засажда високостеблена растителност.
D 12;Електропровод 110 kV. На 20 m от двете страни до крайните проводници или на 24 m от оста на електропровода не може да се строят сгради и съоръжения и да се засажда високостеблена растителност.
D 13;Електропровод 220 kV. На 25 m от двете страни до крайните проводници или на 30 m от оста на електропровода не може да се строят сгради и съоръжения и да се засажда високостеблена растителност.
D 14;Електропровод 400 kV с една тройка. На 30 m от двете страни до крайните про¬водници или на 41 m от оста на електропровода не може да се строят сгради и съоръжения и да се засажда високостеблена растителност.
D 15;Електропровод 400 kV с две тройки. На 30 m от двете страни до крайните проводници или на 50 m от оста на електропровода не може да се строят сгради и съоръжения и да се засажда високостеблена растителност.
D 16;Електропровод над 400 kV. На 60 m от оста на електропровода не може да се строят сгради и съоръжения и да се засажда високостеблена растителност.
D 21;Магистрален газопровод 1000 mm. В охранителната зона на 250 m от двете му страни се забранява засаждане на овощни и други градини, на дървета с развита коренова система и на горско-дървесни видове в предоставените площи за просеки за строителството на газопровода на по-малко от 10 m от двете му страни.
D 22;Магистрален газопровод 700 mm или от 600 до 800 mm. В охранителната зона на 200 m от двете му страни се забранява засаждане на овощни и други градини, на дървета с развита коренова система и на горски и дървесни видове в предоставените площи за просеки за строителство на газопровода на по-малко от 10 m от двете му страни.
D 23;Отклонение от магистрален газопровод от 300 до 500 mm. В охранителната зона на 150 m от двете му страни се забранява засаждане на овощни и други дървета с развита коренова система и на горски и дървесни видове в предоставените площи за просеки за строителството на по-малко от 10 m от двете му страни.
D 24;Отклонение от магистрален газопровод до 300 mm. В охранителната зона на 100 m от двете му страни се забранява засаждане на овощни и други градини, на дървета с развита коренова система и на горски и дървесни видове в предоставените площи за просеки за строителство на газопровода на по-малко от 10 m от двете му страни.
D 29;Компресорна станция на газопровод. На 700 m от площадката се забранява засаждането на овощни видове с развита коренова система и горско-дървесни видове.
D 30;Газоразпределителна станция 175 m. На 175 m от площадката се забранява засаждането на овощни видове с развита коренова система и горско-дървесни видове.
D 31;Нефтопровод от 500 до 1000 mm. Охранителна зона на 150 m от двете му страни.
D 32;Нефтопровод от 300 до 500 mm. Охранителна зона на 100 m от двете му страни.
D 33;Нефтопровод до 300 mm. Охранителна зона на 75 m от двете му страни.
D 39;Помпени станции на нефтопровод/продуктопровод. Охранителна зона на 200 m от границите на площадката.
D 40;Компресорни станции на нефтопровод. Охранителна зона на 700 m от границите на пло-щадката.
D 41;Продуктопровод за леки въглеводороди от 300 до 500 mm с подземно полагане. Охранителна зона 500 m от двете страни.
D 42;Продуктопровод за леки въглеводороди от 300 до 500 mm с надземно полагане. Охранителна зона 1000 m от двете страни.
D 43;Продуктопровод за леки въглеводороди от 150 до 300 mm с подземно полагане. Охранителна зона 250 m от двете страни.
D 44;Продуктопровод за леки въглеводороди от 150 до 300 mm с надземно полагане. Охранителна зона 500 m от двете страни.
D 45;Продуктопровод за леки въглеводороди до 150 mm с подземно полагане. Охранителна зона 150 m от двете страни.
D 46;Продуктопровод за леки въглеводороди до 150 mm с надземно полагане. Охранителна зона 300 m от двете страни.
D 49;Помпена станция за продуктопровод за леки въглеводороди. Охранителна зона 200 m от границите на площадката.
D 50;Компресорна станция за продуктопровод за леки въглеводороди. Охранителна зона 700 m от границите на площадката.
D 51;Курортни ресурси - зона "А". Забранява се жилищно и промишлено строителство, геологопроучвателна дейност, изхвърляне на отпадъчни води, употреба на химически ве¬ще¬ства за растителна защита.
D 52;Курортни ресурси-зона "Б". Забранява се промишлена дейност, изграждане на поливни кладенци, употреба на химически вещества за растителна защита в климатично-ле¬чеб¬ни курорти.
D 53;Курортни ресурси - зона "В". Забраняват се дейности, които въздействуват неблагоприятно върху минералните води.
D 60;Защитена територия. Резерват. Изключителна държавна собственост съгласно ЗЗТ. Забраняват се всякакви дейности с изключение на тези посочени в чл.17 от ЗЗТ.
D 61;Защитена територия. Национален парк. Изключителна държавна собственост съгласно ЗЗТ. Забраняват се дейностите посочени в чл.21 от ЗЗТ и други дейности, определени от заповедта за обявяване на защитената територия и плана за управление.
D 62;Защитена територия. Природна забележителност. Забраняват се дейности, които могат да нарушат тяхното естествено състояние или да намалят естетическата им стойност, съгласно ЗЗТ и заповедта за обявяване.
D 63;Защитена територия. Поддържан резерват. Изключителна държавна собственост съгласно ЗЗТ.Забраняват се всякакви дейности с изключение на тези посочени в чл.27 от ЗЗТ.
D 64;Защитена територия. Природен парк. Забраняват се дейностите посочени в чл.31 от ЗЗТ и други дейности определени със заповедта за обявяване на защитената територия и с плана за управление.
D 65;Защитена територия. Защитена местност. Забраняват се дейности, противоречащи на изискванията за опазване на конкретните обекти, предмет на защита, съгласно ЗЗТ и заповедта за обявяване.
D 72;Имотът попада в зона със замърсяване BI. Има ограничения в земеползването, отразени в сертификат.
D 73;Имотът попада в зона със замърсяване BII. Има ограничения в земеползването, отразени в сертификат.
D 74;Имотът попада в зона със замърсяване BIII. Има ограничения в земеползването, отразени в сертификат.
D 75;Имотът попада в зона със замърсяване C. Има ограничения в земеползването, отразени в сертификат.
D 76;Имотът попада в зона със замърсяване. Има ограничения в земеползването, отразени в сертификат.
D 81;Трайните насаждения да се опазват и стопанисват в съответствие с чл.18 от ЗСПЗЗ до из-тичане на амортизационния срок.
D 82;Хидромелиоративните съоръжения да се опазват и стопанисват в съответствие с чл.18 от ЗСПЗЗ до изтичане на амортизационния срок
D 83;Оризовите полета да се опазват и стопанисват в съответствие с чл.18 от ЗСПЗЗ до изтичане на амортизационния срок.
D 87;Да се използува съгласно Закона за устройство на територията
D 88;Да се използува съгласно Закона за лова и опазване на дивеча и Правилника за прилагането му.
D 89;Зона на летище (3 km от центъра му). Забранява се строителство на животновъдни сгради.
D 90;Зона на летище (500 m от полосата за излитане). Забранява се засаждане на дървета с височина над 5 m. Високата растителност (над 1 m) се окосява.
D 91;Археологически обект с режим А. Забраняват се благоустройствени, строителни, селскостопански, мелиоративни и други дейности, които нарушават це¬лост¬¬та на земния пласт в границите на археологическия обект. Допуска се из¬пол¬зва¬нето на земята като ли¬вади и пасища.
D 92;Археологически обект с режим Б. Забраняват се изкопни работи, дълбочинна обработка на почвата, засаждане на култури с дълбока коренова система, за¬бла¬тяване и дру¬ги, които могат да унищожат или засегнат археологическата суб¬станция в границите на обекта. Допуска се обработка на почвата (оран) на дълбочина до 0,25 m.
D 93;Археологически обект с режим В. Забраняват се изкопни работи, несвързани със селскостопанските дейности. Допускат се всички селскостопански дейности при ус¬ло¬вия¬та на чл.18 от ЗПКМ.
D 94;Археологически обект с режим Г. Разрешават се всички дейности, като тези, свързани с из-коп¬ни работи, се съгласуват с държавните органи, следящи за опазване на кул¬тур¬но-историческото на¬след¬ство (музеи, НИПК, АИМ при БАН) и при условията на чл.18 от ЗПКМ.
D 96;Да се използва съгласно Закона за биологичното разнообразие и заповедта за обявяване.
D 97;Буферна зона към резерват за растителни видове. Да се използва съгласно ЗООС.
D 98;Да се използва съгласно Закона за горите и правилника за неговото прилагане.
D 99;Да се използва съгласно Закона за териториално и селищно устройство и правилника за неговото прилагане.
END_TABLE

TABLE NADPISI
F TYPE 2 3 0 2
F TYPE_txt C 50 0 2
D 1;Номер на триангулачна точка
D 2;Триангулачна точка - кота
D 3;Кота на теренна точка
D 4;Височина на хоризонтал
D 5;Височина на слог
D 6;Височина на подпорна стена
D 7;Числен надпис и характеристика на постройка
D 8;Номер на имот
D 9;Окръжен град
D 10;Град
D 11;Село
D 12;Махала, колиба
D 13;Към населено място
D 14;Предградие, квартал
D 15;Обособено държавно стопанство
D 16;Хижа, замък, дворец
D 17;Пояснителен надпис
D 18;Пояснителен надпис на обект
D 19;Номер на граничен знак и горски квартал
D 20;Пояснителен надпис
D 21;Улица или площад
D 22;Улица 2,0
D 23;Улица 1,7
D 24;Улица 1,4
D 25;Местност 5,7
D 26;Местност 4,5
D 27;Местност 4,0
D 28;Местност 3,3
D 29;Местност 2,8
D 30;Местност 2,3
D 31;Местност 2,0
D 32;Море, реки, езера и др.
D 33;Море 5,7
D 34;Море 4,0
D 35;Море 2,8
D 36;Плавателна река
D 37;Неплавателна река
D 38;Дерета
D 39;Извор
D 40;Планина 4,0
D 41;Планина 3,3
D 42;Планина 2,5
D 43;Планина 2,0
D 44;Планина 1,7
D 45;Могила
D 46;Съседна държава
D 47;Номенклатура на картен лист
D 48;Мащаб
D 49;Издател
D 50;Координатна система
D 51;Степен на секретност
D 52;Номенклатура на съседни картни листове
D 60;Местност и квартал
D 66;Надпис на напречен профил (червени арабски циф¬ри, с височина 2 mm)
D 67;Номер на осова точка (червени арабски цифри, с височина 2mm)
D 68;Номер на сграда със самостоятелни обекти
D 69;Номер на сграда
D 70;Номер на определяща точка
D 71;Административен номер
D 72;Водна площ
D 73;Наименование на местност
D 74;Надпис на землищна граница
END_TABLE
